concept_id,jlpt_level,pattern,meaning,source,source_id,review_status
n5-grammar-desu-polite-copula,N5,Noun + です,is / am / are (polite copula),Japanese Language Data,desu-polite-copula,draft
n5-grammar-da-plain-copula,N5,Noun + だ,is / am / are (plain copula),Japanese Language Data,da-plain-copula,draft
n5-grammar-deshita-past-polite-copula,N5,Noun + でした,was / were (polite past copula),Japanese Language Data,deshita-past-polite-copula,draft
n5-grammar-dewa-arimasen-negative-polite-copula,N5,Noun + ではありません,is not / am not / are not (polite negative copula),Japanese Language Data,dewa-arimasen-negative-polite-copula,draft
n5-grammar-masu-polite-verb,N5,Verb stem + ます,polite non-past verb ending,Japanese Language Data,masu-polite-verb,draft
n5-grammar-mashita-polite-past-verb,N5,Verb stem + ました,polite past verb ending,Japanese Language Data,mashita-polite-past-verb,draft
n5-grammar-masen-polite-negative-verb,N5,Verb stem + ません,polite non-past negative verb ending,Japanese Language Data,masen-polite-negative-verb,draft
n5-grammar-masendeshita-polite-past-negative-verb,N5,Verb stem + ませんでした,polite past negative verb ending,Japanese Language Data,masendeshita-polite-past-negative-verb,draft
n5-grammar-particle-wa-topic,N5,X + は,marks the topic of a sentence (pronounced 'wa'),Japanese Language Data,particle-wa-topic,draft
n5-grammar-particle-ga-subject,N5,X + が,marks the grammatical subject; introduces new information,Japanese Language Data,particle-ga-subject,draft
n5-grammar-particle-o-object,N5,X + を,marks the direct object of a transitive verb,Japanese Language Data,particle-o-object,draft
n5-grammar-particle-ni-target,N5,X + に,"marks target, destination, location of existence, or time",Japanese Language Data,particle-ni-target,draft
n5-grammar-particle-de-means,N5,X + で,"marks the means, tool, or location of an action",Japanese Language Data,particle-de-means,draft
n5-grammar-particle-to-and-with,N5,X と Y,and (exhaustive listing); with (accompanying person/thing),Japanese Language Data,particle-to-and-with,draft
n5-grammar-particle-no-possession,N5,X + の + Y,marks possession; modifies a noun with another noun,Japanese Language Data,particle-no-possession,draft
n5-grammar-particle-e-direction,N5,X + へ,marks direction of movement (pronounced 'e'),Japanese Language Data,particle-e-direction,draft
n5-grammar-particle-kara-from,N5,X + から,marks the starting point: from (place/time),Japanese Language Data,particle-kara-from,draft
n5-grammar-particle-made-until,N5,X + まで,marks the endpoint: until / as far as,Japanese Language Data,particle-made-until,draft
n5-grammar-particle-mo-also,N5,X + も,also / too / as well,Japanese Language Data,particle-mo-also,draft
n5-grammar-particle-ka-question,N5,Sentence + か,marks a sentence as a question,Japanese Language Data,particle-ka-question,draft
n5-grammar-particle-ne-seeking-agreement,N5,Sentence + ね,right? / isn't it? (seeking agreement or confirming shared knowledge),Japanese Language Data,particle-ne-seeking-agreement,draft
n5-grammar-particle-yo-emphasis,N5,Sentence + よ,I'm telling you / emphasis; informs the listener of new information,Japanese Language Data,particle-yo-emphasis,draft
n5-grammar-kore-sore-are-demonstratives,N5,これ / それ / あれ / どれ,this / that / that over there / which (pronominal demonstratives),Japanese Language Data,kore-sore-are-demonstratives,draft
n5-grammar-kono-sono-ano-dono-attributive,N5,この / その / あの / どの + Noun,this / that / that ___ over there / which ___ (attributive demonstratives),Japanese Language Data,kono-sono-ano-dono-attributive,draft
n5-grammar-koko-soko-asoko-doko,N5,ここ / そこ / あそこ / どこ,here / there / over there / where (place demonstratives),Japanese Language Data,koko-soko-asoko-doko,draft
n5-grammar-arimasu-existence-inanimate,N5,Place に Noun が あります,there is / exists (for inanimate things),Japanese Language Data,arimasu-existence-inanimate,draft
n5-grammar-imasu-existence-animate,N5,Place に Animate が います,there is / exists (for animate beings: people and animals),Japanese Language Data,imasu-existence-animate,draft
n5-grammar-te-form-basic,N5,Verb-て,connecting form (basis for many compound constructions),Japanese Language Data,te-form-basic,draft
n5-grammar-te-kudasai-request,N5,Verb-て + ください,please do (polite request),Japanese Language Data,te-kudasai-request,draft
n5-grammar-te-imasu-progressive,N5,Verb-て + います,be doing (progressive); be in the state of having done (resultant state),Japanese Language Data,te-imasu-progressive,draft
n5-grammar-nai-form,N5,Verb-ない,plain (casual) negative verb form,Japanese Language Data,nai-form,draft
n5-grammar-ta-form,N5,Verb-た,plain (casual) past verb form,Japanese Language Data,ta-form,draft
n5-grammar-i-adjective-nonpast,N5,い-adjective + (です),い-adjective non-past (affirmative),Japanese Language Data,i-adjective-nonpast,draft
n5-grammar-i-adjective-negative,N5,い-adjective stem + くない / くありません,い-adjective negative (is not ___),Japanese Language Data,i-adjective-negative,draft
n5-grammar-i-adjective-past,N5,い-adjective stem + かった(です),い-adjective past (was ___),Japanese Language Data,i-adjective-past,draft
