concept_id,jlpt_level,expression,reading,meaning,source,source_id,review_status
n5-vocab-1198180-ada066ed,N5,会う,あう,to meet,Jonathan Waller JLPT vocabulary list,1198180,seed
n5-vocab-1381380-ebec6584,N5,青,あお,blue,Jonathan Waller JLPT vocabulary list,1381380,seed
n5-vocab-1381390-51a671ec,N5,青い,あおい,blue,Jonathan Waller JLPT vocabulary list,1381390,seed
n5-vocab-2013900-2dacb910,N5,赤,あか,red,Jonathan Waller JLPT vocabulary list,2013900,seed
n5-vocab-1383240-44ba38cf,N5,赤い,あかい,red,Jonathan Waller JLPT vocabulary list,1383240,seed
n5-vocab-1532350-7a0f4c14,N5,明い,あかるい,bright,Jonathan Waller JLPT vocabulary list,1532350,seed
n5-vocab-1332650-8dc7006b,N5,秋,あき,autumn,Jonathan Waller JLPT vocabulary list,1332650,seed
n5-vocab-1586270-fc3bc1e6,N5,開く,あく,"to open, to become open",Jonathan Waller JLPT vocabulary list,1586270,seed
n5-vocab-1202450-321963ed,N5,開ける,あける,to open,Jonathan Waller JLPT vocabulary list,1202450,seed
n5-vocab-1352320-9661cbac,N5,上げる,あげる,to give,Jonathan Waller JLPT vocabulary list,1352320,seed
n5-vocab-1428280-d46ae79a,N5,朝,あさ,morning,Jonathan Waller JLPT vocabulary list,1428280,seed
n5-vocab-1586330-3e253822,N5,朝御飯,あさごはん,breakfast,Jonathan Waller JLPT vocabulary list,1586330,seed
n5-vocab-1584640-b3b4041c,N5,あさって,あさって,day after tomorrow,Jonathan Waller JLPT vocabulary list,1584640,seed
n5-vocab-1404630-27df3d58,N5,足,あし,"foot, leg",Jonathan Waller JLPT vocabulary list,1404630,seed
n5-vocab-1584660-115ec834,N5,明日,あした,tomorrow,Jonathan Waller JLPT vocabulary list,1584660,seed
n5-vocab-1000320-bee501fa,N5,あそこ,あそこ,over there,Jonathan Waller JLPT vocabulary list,1000320,seed
n5-vocab-1542160-2d555713,N5,遊ぶ,あそぶ,"to play, to make a visit",Jonathan Waller JLPT vocabulary list,1542160,seed
n5-vocab-1586420-f665c212,N5,暖かい,あたたかい,warm,Jonathan Waller JLPT vocabulary list,1586420,seed
n5-vocab-1582310-b62cb9ce,N5,頭,あたま,head,Jonathan Waller JLPT vocabulary list,1582310,seed
n5-vocab-1361490-8ae27e3b,N5,新しい,あたらしい,new,Jonathan Waller JLPT vocabulary list,1361490,seed
n5-vocab-1483185-34e6f7d2,N5,あちら,あちら,there,Jonathan Waller JLPT vocabulary list,1483185,seed
n5-vocab-1343460-7b4aecdf,N5,暑い,あつい,hot,Jonathan Waller JLPT vocabulary list,1343460,seed
n5-vocab-1467720-a379d413,N5,熱い,あつい,hot to the touch,Jonathan Waller JLPT vocabulary list,1467720,seed
n5-vocab-1275320-9949d874,N5,厚い,あつい,"kind, deep, thick",Jonathan Waller JLPT vocabulary list,1275320,seed
n5-vocab-1483185-60dd6337,N5,あっち,あっち,over there,Jonathan Waller JLPT vocabulary list,1483185,seed
n5-vocab-1269320-4f134c9b,N5,後,あと,afterwards,Jonathan Waller JLPT vocabulary list,1269320,seed
n5-vocab-1223615-2494cd35,N5,貴方,あなた,you,Jonathan Waller JLPT vocabulary list,1223615,seed
n5-vocab-1249900-4aab6998,N5,兄,あに,(humble) older brother,Jonathan Waller JLPT vocabulary list,1249900,seed
n5-vocab-1307630-8bfeb208,N5,姉,あね,(humble) older sister,Jonathan Waller JLPT vocabulary list,1307630,seed
n5-vocab-1000430-ac470606,N5,あの,あの,um...,Jonathan Waller JLPT vocabulary list,1000430,seed
n5-vocab-1017760-0cf05b3a,N5,アパート,アパート,apartment,Jonathan Waller JLPT vocabulary list,1017760,seed
n5-vocab-1547450-a5aceb64,N5,あびる,あびる,"to bathe, to shower",Jonathan Waller JLPT vocabulary list,1547450,seed
n5-vocab-1218380-0509cb3b,N5,危ない,あぶない,dangerous,Jonathan Waller JLPT vocabulary list,1218380,seed
n5-vocab-1213400-4afffe58,N5,甘い,あまい,sweet,Jonathan Waller JLPT vocabulary list,1213400,seed
n5-vocab-1584930-eac90e8e,N5,あまり,あまり,not very,Jonathan Waller JLPT vocabulary list,1584930,seed
n5-vocab-1171900-277a58c9,N5,雨,あめ,rain,Jonathan Waller JLPT vocabulary list,1171900,seed
n5-vocab-1153520-5d72771a,N5,飴,あめ,candy,Jonathan Waller JLPT vocabulary list,1153520,seed
n5-vocab-1390930-f8fa9694,N5,洗う,あらう,to wash,Jonathan Waller JLPT vocabulary list,1390930,seed
n5-vocab-1296400-4f205154,N5,有る,ある,"to be,to have (used for inanimate objects)",Jonathan Waller JLPT vocabulary list,1296400,seed
n5-vocab-1514320-55f3080c,N5,歩く,あるく,to walk,Jonathan Waller JLPT vocabulary list,1514320,seed
n5-vocab-2847612-d727a76b,N5,あれ,あれ,that,Jonathan Waller JLPT vocabulary list,2847612,seed
n5-vocab-2820690-e37a087c,N5,いい,いい,good,Jonathan Waller JLPT vocabulary list,2820690,seed
n5-vocab-1605820-d00cf273,N5,良い,よい,good,Jonathan Waller JLPT vocabulary list,1605820,seed
n5-vocab-1583250-6d4596ae,N5,いいえ,いいえ,no,Jonathan Waller JLPT vocabulary list,1583250,seed
n5-vocab-1587040-ae0cc00f,N5,言う,いう,to say,Jonathan Waller JLPT vocabulary list,1587040,seed
n5-vocab-1191730-9f074820,N5,家,いえ,house,Jonathan Waller JLPT vocabulary list,1191730,seed
n5-vocab-2845606-a3f296ad,N5,いかが,いかが,how,Jonathan Waller JLPT vocabulary list,2845606,seed
n5-vocab-1578850-66e4692d,N5,行く,いく,to go,Jonathan Waller JLPT vocabulary list,1578850,seed
n5-vocab-1219960-026ae57b,N5,いくつ,いくつ,"how many?,how old?",Jonathan Waller JLPT vocabulary list,1219960,seed
n5-vocab-1219980-4fc98c69,N5,いくら,いくら,how much?,Jonathan Waller JLPT vocabulary list,1219980,seed
n5-vocab-1421700-43c874a6,N5,池,いけ,pond,Jonathan Waller JLPT vocabulary list,1421700,seed
n5-vocab-1159980-ca761625,N5,医者,いしゃ,medical doctor,Jonathan Waller JLPT vocabulary list,1159980,seed
n5-vocab-1157070-d305fa14,N5,いす,いす,chair,Jonathan Waller JLPT vocabulary list,1157070,seed
